[2015-06-15 16:09:40][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '规范', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '2015-06-15 16:09:40', `updatedate` = '2015-06-15 16:09:40']
[2015-06-15 16:09:40][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '规范', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '2015-06-15 16:09:40', `updatedate` = '2015-06-15 16:09:40']
[2015-06-15 16:10:06][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 16:10:06][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 16:10:06][12552][INFO]return successfully! | SQL[set names utf8]
[2015-06-15 16:10:06][12552][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-15 16:10:06][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '规范', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '2015-06-15 16:10:06', `updatedate` = '2015-06-15 16:10:06']
[2015-06-15 16:10:06][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '规范', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '2015-06-15 16:10:06', `updatedate` = '2015-06-15 16:10:06']
[2015-06-15 16:10:52][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 16:10:52][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 16:10:52][12552][INFO]return successfully! | SQL[set names utf8]
[2015-06-15 16:10:52][12552][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-15 16:10:52][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '规范', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '2015-06-15 16:10:52', `updatedate` = '2015-06-15 16:10:52']
[2015-06-15 16:10:52][12552][INFO]return successfully! | excute time:2(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '规范', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '2015-06-15 16:10:52', `updatedate` = '2015-06-15 16:10:52']
