[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:93(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:32(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:69(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:33(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
[2015-06-17 18:35:41][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:41][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:41][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:41][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:41][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:41', `updatedate` = '2015-06-17 18:35:41']
[2015-06-17 18:35:41][6484][INFO]return successfully! | excute time:30(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:41', `updatedate` = '2015-06-17 18:35:41']
[2015-06-17 18:35:43][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:43][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:43][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:43][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:43][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '', `coupon_id` = '', `coupon_name` = '', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:43', `updatedate` = '2015-06-17 18:35:43']
[2015-06-17 18:35:43][6484][INFO]return successfully! | excute time:27(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '', `coupon_id` = '', `coupon_name` = '', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:43', `updatedate` = '2015-06-17 18:35:43']
[2015-06-17 18:35:59][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:59][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:59][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:59][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:59][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '', `coupon_id` = '', `coupon_name` = '', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:59', `updatedate` = '2015-06-17 18:35:59']
[2015-06-17 18:35:59][6484][INFO]return successfully! | excute time:24(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '', `coupon_id` = '', `coupon_name` = '', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:59', `updatedate` = '2015-06-17 18:35:59']
[2015-06-17 18:36:10][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:36:10][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:36:10][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:36:10][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:36:10][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:36:10', `updatedate` = '2015-06-17 18:36:10']
[2015-06-17 18:36:10][6484][INFO]return successfully! | excute time:15(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:36:10', `updatedate` = '2015-06-17 18:36:10']
[2015-06-17 18:36:11][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:36:11][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:36:11][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:36:11][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:36:18][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:36:18][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:36:18][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:36:18][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:36:47][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:36:47][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:36:47][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:36:47][6484][INFO]return successfully! | excute time:1(ms) SQL[set names utf8]
[2015-06-17 18:37:35][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:37:35][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:37:35][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:37:35][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:39:18][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:39:18][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:39:18][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:39:18][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:39:29][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:39:29][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:39:29][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:39:29][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:40:08][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:40:08][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:40:08][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:40:08][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:40:28][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:40:28][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:40:28][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:40:28][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 19:18:50][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 19:18:50][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 19:18:50][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 19:18:50][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 19:20:51][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 19:20:51][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 19:20:51][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 19:20:51][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 19:21:11][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 19:21:11][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 19:21:11][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 19:21:11][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 19:21:43][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 19:21:43][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 19:21:43][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 19:21:43][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 19:22:48][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 19:22:48][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 19:22:48][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 19:22:48][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 21:53:30][3756][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 21:53:30][3756][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 21:53:30][3756][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 21:53:30][3756][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
